muestra,phase_acc,idx_tabla,valor_seno_comparador
302,3891240404,927,-201
303,3904125306,930,-195
304,3917010208,933,-190
305,3929895110,936,-184
306,3942780012,940,-176
307,3955664914,943,-171
308,3968549816,946,-165
309,3981434718,949,-159
310,3994319620,952,-153
311,4007204522,955,-147
312,4020089424,958,-141
313,4032974326,961,-135
314,4045859228,964,-129
315,4058744130,967,-123
316,4071629032,970,-116
317,4084513934,973,-110
318,4097398836,976,-104
319,4110283738,979,-97
320,4123168640,983,-89
321,4136053542,986,-82
322,4148938444,989,-76
323,4161823346,992,-70
324,4174708248,995,-63
325,4187593150,998,-57
326,4200478052,1001,-50
327,4213362954,1004,-43
328,4226247856,1007,-37
329,4239132758,1010,-30
330,4252017660,1013,-24
331,4264902562,1016,-17
332,4277787464,1019,-11
333,4290672366,1022,-4
